firm,site_name,role,operator,city,country,address,lat,lon,coord_precision,status,gpu_count,gpu_type,power_mw,power_basis,capacity_note,confidence,evidence_count,evidence_url
Man Group (AHL/Numeric),Man Numeric - Boston quant research office,office_hpc,self,Boston,United States,"200 Pier 4 Boulevard, Fifth Floor, Boston, MA 02210",42.3536,-71.0448,exact,operational,,,,,"Man Numeric, Man Group's quantitative equity manager and the unit running the AlphaGPT agentic-AI signal-discovery system, is headquartered in Boston. No on-site data centre, GPU count, cluster or MW is publicly disclosed; mapped as a quant-research office for completeness. Compute for its AI systems is not tied to a named facility in the public record.",confirmed,2,https://www.man.com/contact
Man Group (AHL/Numeric),"Man Research Laboratory - Eagle House, Oxford (Oxford-Man Institute co-located lab)",office_hpc,self,Oxford,United Kingdom,"Man Research Laboratory / Eagle House, Walton Well Road, Oxford OX2 6ED",51.7599,-1.2755,exact,operational,,,,,"Man AHL's Oxford research laboratory is co-located with the Oxford-Man Institute of Quantitative Finance (opened 2007, headed by Man AHL Chief Scientist Dr Anthony Ledford), focused on machine-learning research. No compute hardware, GPU count, cluster or MW is disclosed for this site - it is a research/office presence, mapped for completeness rather than as a documented data centre.",confirmed,2,https://www.man.com/ahl
Marshall Wace (TOPS),Marshall Wace London HQ (George House) — on-premises infrastructure,on_prem_hq,self,London,United Kingdom,"George House, 131 Sloane Street, London SW1X 9AT",51.4954,-0.159,exact,operational,,,,,Firm HQ with residual on-premises infrastructure. ControlPlane case study confirms an on-premises Active Directory integrated with the new cloud platform. No source describes this as an HPC/GPU compute room — treated as an HQ machine room only. No compute specs or MW figure disclosed.,confirmed,2,https://www.mwam.com/contact/
Marshall Wace (TOPS),"Marshall Wace cloud-native Kubernetes platform (cloud provider inferred, region undisclosed)",cloud_region,Amazon Web Services (inferred; not named in any authoritative source — AWS S3 appears only as an example in a job ad),London,United Kingdom,,51.4954,-0.159,symbolic,operational,,,,,"Trading-support systems and ETL pipelines run on a cloud-native Kubernetes platform (ControlPlane contractor case study). Cloud provider is inferred as AWS only because a MW job ad lists 'AWS S3' as an example of object storage; no authoritative source names the provider and no cloud region is disclosed. No named facility, no GPU/HPC hardware, no MW/power figure in the public record.",inferred,2,https://control-plane.io/case-studies/marshall-wace-seamless-active-directory-integration-with-kubernetes-platform/
Millennium,Millennium London data centres (self-operated technology infrastructure),on_prem_hq,self,London,United Kingdom,,51.5074,-0.1278,city_level,operational,,,,,"Two firm-operated London data centres providing 'power, cabling and security' for Millennium's local technology rooms. Overseen by London-based deputy head of networks and data centres Christian Blanc (ex-Goldman Sachs MD, joined ~Feb 2026). Self-operated technology infrastructure, not a named colocation hall; no addresses, providers, GPU counts, or MW disclosed. Single-source (Hedgeweek) reported",reported,1,https://www.hedgeweek.com/millennium-hires-goldman-sachs-md-to-bolster-data-centre-infrastructure/
Millennium,Millennium Management New York HQ (399 Park Avenue),on_prem_hq,self,New York,United States,"399 Park Avenue, New York, NY 10022",40.7596,-73.9713,exact,operational,,,,,"Global headquarters. Firm renewed 438K sq ft at 399 Park Avenue (up from 300K leased in 2020). Firm ~$89bn AUM, 6,700+ employees, 140+ locations per its own site. Firm operates on-prem 'local technology rooms'; no compute specs or MW disclosed for NY. Mapped as the corporate/technology anchor, not a confirmed data hall.",confirmed,3,https://www.mlp.com/global-presence/
Millennium,Millennium multi-cloud platform (Google Cloud),cloud_region,Google Cloud (multi-cloud; AWS/Azure also cited in firm cloud-hiring),New York,United States,,40.7596,-73.9713,symbolic,operational,,,,,"Announced Google Cloud partnership (Dec 7, 2023): Vertex AI + BigQuery in an explicit 'multi-cloud environment' for 300+ investment teams / 1,200 technologists. Firm publicly pursuing a multi-cloud compute strategy. No named cloud regions, GPU allocations, or MW in the public record — symbolic cloud footprint, not a physical Millennium-operated facility.",confirmed,3,https://www.tradersmagazine.com/xtra/google-cloud-announces-millennium-management-will-use-its-platform-to-help-investment-teams/
Minghong (明汯),"Minghong self-owned HPC / GPU cluster (location undisclosed, anchored at Shanghai HQ)",self_build_dc,self,Shanghai,China,,31.2304,121.4737,city_level,operational,"1500 (Xie Huanyu, planned end-2022; 'thousands of GPU cards' / 数千张 in 2025 press)",,,,"Self-owned (自有) high-performance computing cluster. Firm partner/investment director Xie Huanyu (解环宇) stated it entered the global TOP500 supercomputer ranking in 2021 and projected an end-2022 build of 1,500 GPU cards, 30,000 CPU cores, 1 PB memory, 5 PB disk, reaching 400 PFLOPS in financial-data applications. Press (Feb/Mar 2025) restates these as current ('thousands of GPUs', 'tens of thousand",reported,4,https://www.sohu.com/a/584685557_505915
Mingshi Fund (鸣石基金),"Mingshi 'Andromeda' (仙女座) first-generation supercomputer server room — Nanchang, Jiangxi (historical)",self_build_dc,self,Nanchang (Jiangxi),China,,28.682,115.8579,city_level,historical,,high-performance CPU + GPU (unspecified),,,"Original location of Mingshi's first-generation self-built supercomputer '星座计划-仙女座' (Constellation Plan – Andromeda), stated to be located in Nanchang, Jiangxi, equipped with multiple high-performance CPUs and GPUs. Reported at ~8,000 compute cores as of Dec 2024, with a stated ~50%/yr capacity growth. The Nanchang server room was subsequently relocated to Shanghai and is run by internal company s",reported,2,https://finance.sina.com.cn/roll/2024-12-16/doc-inczsfyp2455271.shtml
Mingshi Fund (鸣石基金),Mingshi 'Constellation Plan' (星座计划) supercomputing center — Shanghai Pudong (current),self_build_dc,self,Shanghai (Pudong New Area),China,,31.2295,121.5405,city_level,operational,,,,,"Self-built supercomputing center ('星座计划'/Constellation Plan) that Mingshi relocated to Shanghai Pudong in 2025, expanding capacity for its Genesis AI Lab (创世纪AI实验室 / G-Lab). Publicly named phases: 仙女座/Andromeda (phase 1) and 英仙座/Perseus (phase 2). Two-phase build cumulative investment reported at '亿元量级' (RMB 100M-magnitude). Self-run internal server room. No MW/power figure disclosed. Note: press ",reported,2,https://www.cs.com.cn/tzjj/smjj/202503/t20250307_6478108.html
Mingshi Fund (鸣石基金),"Mingshi Investment Management HQ — North Bund Raffles City West Tower, Shanghai",on_prem_hq,self,Shanghai (Hongkou District),China,,31.2506,121.5049,exact,operational,,,,,"Corporate headquarters / research and trading office of Shanghai Mingshi Private Fund Management Co., Ltd. (founded 9 Dec 2010; legal representative 袁宇/Yuan Yu), at 32F West Tower, No.168 Gongping Road, Hongkou (North Bund Raffles City West Tower / 北外滩来福士西塔). Home of the Genesis AI Lab (G-Lab) team. No source states the self-built supercomputing hall is inside this building — listed as the on-prem",confirmed,2,https://gs.amac.org.cn/amac-infodisc/res/pof/manager/101000008740.html
Mingshi Investment (Mengxi) (蒙玺投资),Mingshi (Mengxi) Hefei AI Lab — Ligji Building (立基大厦),office_hpc,self,Hefei,China,,31.8206,117.229,approximate,operational,,,,,"Firm's dedicated 'AI Lab' (AI实验室), a single office suite (Building A, Room 2302), near USTC. Press confirms Mengxi set up its own AI lab in early 2025 and reports it is Hefei-based. This is a research office; NO GPU count, cluster size, or MW is publicly disclosed. The specific 立基大厦 room address is sourced only to the firm's own site (press corroborates only city/existence).",confirmed,2,https://www.mxifund.com/about-us
Mingshi Investment (Mengxi) (蒙玺投资),Mingshi (Mengxi) Shanghai HQ — Lujiazui Century Financial Plaza,on_prem_hq,self,Shanghai,China,,31.2304,121.5405,approximate,operational,,,,,"Head office (Building 2, Floor 26). Firm-stated and AMAC-regulator-confirmed office address. This is an office/HQ, NOT a documented compute hall: no named data center, GPU count, rack count, or MW is publicly disclosed for this site. Firm describes self-developed low-latency trading systems; press confirms a firmwide AI push but discloses no hardware here.",confirmed,3,https://www.mxifund.com/about-us
NK Securities Research,NK Securities Research HQ — in-house HPC / on-prem compute (Gurugram),office_hpc,self,Gurugram,India,"The Executive Center, Level 12, Two Horizon Center, Golf Course Road, DLF Phase 5, Sector 43, Gurugram, Haryana 122002",28.4499,77.103,exact,operational,,,,,"Firm's own careers pages and a (now-closed) System Administrator job ad describe an in-house HPC cluster and on-site 'datacentre operations' managed from the Gurugram HQ, plus self-reported marketing scale of 'millions compute cores and petabyte-scale data.' This is the research/backtest + on-prem compute site, not exchange colo. No MW, GPU, rack, or verifiable core count is disclosed anywhere in ",confirmed,3,https://www.nksecurities.com/contact.html
NK Securities Research,"NK Securities Research — GIFT City office (Gandhinagar, IFSC)",on_prem_hq,self,Gandhinagar (GIFT City),India,"Unit Nos. P04-02C/02D/02E, 4th Floor, Tower A, WTC GIFT City, Block 51, Road 5E, Zone 5, GIFT City, Gandhinagar, Gujarat 382050",23.16,72.685,exact,operational,,,,,"Office within the GIFT City IFSC. Firm's live careers board lists a Gandhinagar role (Back Office Associate), corroborating active presence. This is an office/registered-entity presence only; no dedicated data hall, compute cluster, or MW is publicly documented here.",confirmed,2,https://www.nksecurities.com/contact.html
NK Securities Research,NK Securities Research — Singapore office (Six Battery Road),on_prem_hq,"self (office); any SGX-region colo inferred, not named",Singapore,Singapore,"#42-57, Level 42, Six Battery Road, Singapore 049909",1.2847,103.8508,exact,operational,,,,,"Firm launched NK-Singapore in 2020. A Gurugram/Singapore Network Infrastructure Manager role references 'colocation for low latency exchange connectivity,' implying an SGX-region execution/colo presence, but the firm names no Singapore data hall. Only the office address is documented; no compute specs or MW are public.",confirmed,3,https://www.nksecurities.com/contact.html
Old Mission,"Old Mission HQ - 1 North Dearborn, Chicago",on_prem_hq,self,Chicago,USA,"1 N. Dearborn Street, 8th Floor, Chicago, IL 60602",41.8827,-87.6289,exact,operational,,,,,"38,000 sq ft trading office opened 2021. Contractor (BIG Construction) states the build-out included a dedicated UPS room, supplemental cooling, and trading desks - i.e. an on-prem trading tech / server room, not a purpose-built data center. No GPU/CPU count or MW disclosed.",confirmed,3,https://www.buildbig.com/projects/old-mission-capital
Old Mission,Old Mission London office - 1 Finsbury Square,on_prem_hq,self,London,United Kingdom,"1 Finsbury Square, 4th Floor, London, EC2A 1AE, UK",51.5205,-0.0863,exact,operational,,,,,"London office / registered office of Old Mission's UK entities (Old Mission Global Trading LLP and Old Mission Europe LLP). No documented data-center, server-room capacity, compute specs, or MW. Compute footprint here is undisclosed.",confirmed,3,https://find-and-update.company-information.service.gov.uk/company/OC424683
Old Mission,Old Mission New York office - 120 Broadway,on_prem_hq,self,New York,USA,"120 Broadway, 11th Floor, New York, NY 10271",40.7086,-74.0102,exact,operational,,,,,"Trading office at 120 Broadway (11th floor); tenant since 2013, expanded from 11,173 to 20,023 sq ft by Q3 2024. Firm-stated trading office; no documented dedicated data-center/server-room capacity, compute specs, or MW. Compute footprint here is undisclosed.",confirmed,2,https://www.oldmissioncapital.com/contact-us/
Open Futures,"NSE Co-location Facility, Exchange Plaza BKC (Open Futures trading servers)",colocation,National Stock Exchange of India (NSE),Mumbai (Bandra Kurla Complex),India,"Exchange Plaza, C-1, Block G, Bandra Kurla Complex, Bandra (E), Mumbai 400051, India",19.065,72.865,approximate,operational,,,,,"Execution-only HFT/arbitrage. Open Futures states it was the first to avail of NSE's co-location services, i.e. it hosts trading servers in NSE's member co-location data centre at Exchange Plaza, BKC, Mumbai. No self-built DC, no named colo hall assignment, no cloud region, no GPU/HPC, no MW/power and no rack figures for Open Futures are in the public record.",reported,3,https://openfutures.in/
Optiver,Optiver Global HQ — Amsterdam (on-site data center + EU colo hub),on_prem_hq,self,Amsterdam,Netherlands,,52.3376,4.8726,exact,operational,,,,,"Optiver runs a deliberately non-cloud, on-prem trading environment. Amsterdam office manages the network across 16 data centres (Europe + Americas), 40 trading WAN lines, ~75,000 km fibre, up to 100 Gbps. May 2024 AMD 'data center modernization': 4th Gen EPYC compute, Virtex UltraScale+ FPGAs, Alveo U55C/UL3524 accelerators, Solarflare X2 NICs. No MW disclosed.",confirmed,3,https://optiver.com/working-at-optiver/career-hub/behind-the-scenes-engineering-optivers-global-trading-network/
Optiver,Optiver Sydney — APAC HQ research HPC / GPU cluster,office_hpc,self,Sydney,Australia,,-33.8676,151.205,exact,operational,,NVIDIA A100 / H100 (firm-stated),,,"Optiver's own Sydney pages describe heavy ML/HPC investment including a dedicated supercomputing cluster and GPU capacity (NVIDIA A100/H100) to accelerate model training, data workflows and AI deployment. Purpose-built office at 275 Kent Street. No MW or GPU count disclosed; unclear if GPUs sit in-office or in a Sydney colo.",confirmed,2,https://optiver.com/about-us/locations/sydney/
Optiver,Optiver US HQ — Chicago (US HQ + remote colos),on_prem_hq,self,Chicago,United States,,41.8781,-87.6298,city_level,operational,,,,,"Chicago is Optiver's US HQ (One Prudential Plaza, 100,000 sqft), active on leading US exchanges. Optiver's US Data Center Engineer roles reference 'remote colocations' and packing/shipping equipment to/from them — part of the Americas footprint within the 16-DC network. Specific CME/equities colo halls not publicly named. No MW disclosed.",inferred,2,https://optiver.com/optiver-expands-us-presence-with-new-chicago-office/
Optiver,Optiver colocation presence — Frankfurt (on-site DC + colos),colocation,undisclosed colo (Optiver does not name hall; Eurex/Xetra ecosystem centres on Equinix Frankfurt),Frankfurt,Germany,,50.1109,8.6821,city_level,operational,,,,,"Optiver Data Center Engineer (Frankfurt) role: 'installing and cabling switches, servers, and appliances in our on-site data center' plus 'smart hands across remote co-locations'. EU Data Center Engineering Lead role covers a team spanning Amsterdam, Frankfurt and London doing 'colocation builds, site migrations, capacity expansions'. Specific colo operator/hall not publicly named. No MW disclosed",reported,2,https://jaabz.com/jobs/10454-data-center-engineer-frankfurt
Optiver,Optiver colocation presence — London / Slough (FX & commodities hub),colocation,undisclosed colo (Optiver does not name hall; UK FX ecosystem centres on Equinix Slough LD4/LD5),London / Slough,United Kingdom,,51.5074,-0.1278,city_level,operational,,,,,"EU Data Center Engineering Lead role: team spanning Amsterdam, Frankfurt and London responsible for 'colocation builds, site migrations, capacity expansions'. London is Optiver's global hub for FX and commodities and home to its OTC derivatives. Specific colo hall not disclosed. No MW disclosed.",reported,2,https://www.optiver.com/join-us/jobs/technology/amsterdam/data-center-engineering-lead-europe/
Optiver,"Optiver data-center co-locations — Durham, North Carolina",colocation,undisclosed colo (Optiver states 'our co-locations in Durham'; hall not named),Durham,United States,,35.994,-78.8986,city_level,operational,,,,,"Optiver's Data Center Engineer posting (Durham, NC) requires 'Ability to commute to our co-locations in Durham' and covers installing/cabling switches, servers and appliances in 'our data co-locations' plus smart hands in remote co-locations. Confirms Optiver operates co-location facilities in the Research Triangle, not merely an office. Facility/operator not named. No MW disclosed.",inferred,2,https://simplify.jobs/p/6ae01df6-0806-478f-8d45-3532d0fc2704/Data-Center-Engineer
Optiver,"Optiver data-center co-locations — São Paulo, Brazil (B3 / LatAm)",colocation,undisclosed colo (Optiver states 'Brazil co-locations'; B3 exchange colo in Santana de Parnaiba is the LatAm liquidity hub — not explicitly named by Optiver),São Paulo,Brazil,,-23.5505,-46.6333,city_level,operational,,,,,"Optiver Data Center Engineer (São Paulo) posting: installing/cabling switches, servers and appliances in 'Brazil co-locations', managing power and space allocation, planning data center build-outs and relocations, packing/shipping logistics for the Brazil co-locations. Consistent with B3 exchange colocation. Specific facility not publicly named. No MW disclosed.",inferred,2,https://optiver.com/working-at-optiver/career-opportunities/8429464002/
PDT Partners,PDT Partners AWS cloud (public cloud platform),cloud_region,Amazon Web Services (AWS),New York (anchor; AWS region undisclosed),USA,,40.7685,-73.9829,symbolic,operational,,,,,"A PDT Cloud Engineer posting names AWS as the preferred public cloud and describes building PDT's next-generation public cloud platform. No AWS region, instance count, GPU type, or MW disclosed. (Note: the previously cited AWS Batch / AWS ParallelCluster / Slurm/Torque/SGE specifics came from a Built In job page that now returns 404 and could not be verified, so those specifics are stripped.)",inferred,1,https://job-boards.greenhouse.io/pdtpartners/jobs/7116260
PDT Partners,PDT Partners London office,on_prem_hq,self,London,United Kingdom,"Yarnwicke, 119-121 Cannon Street, London EC4N 5AT",51.5115,-0.0905,exact,operational,,,,,PDT's second office (secondary location on the firm's own contact page). No named data centre and NO compute specs disclosed for London. Note: no source ties any on-prem machine room or compute to London specifically; only the office address is confirmed. The prior 'on-prem node' framing is not evidenced and has been removed.,inferred,1,https://pdtpartners.com/contact
PDT Partners,PDT Partners NYC HQ (on-prem research computing / HPC),on_prem_hq,self,New York,USA,"60 Columbus Circle, 18th Floor, New York, NY 10023",40.7685,-73.9829,exact,operational,,,,,"PDT runs a self-operated on-prem environment: a Cloud Engineer posting references bridging 'on-prem Linux, storage, and network infrastructure' with the cloud. PeeringDB shows PDT operates its own network (ASN 62594) registered at this NYC address. No named data centre, no disclosed rack count, GPU count, or MW. The on-prem gear is reasonably associated with the NYC HQ but its exact housing is not",inferred,4,https://pdtpartners.com/contact
Point72 / Cubist,Cubist Systematic Strategies on-premise research compute (Ray clusters),office_hpc,self,Stamford,USA,,41.0344,-73.5866,symbolic,operational,,,,,"Cubist's research technology team runs on-premise multi-tenant Ray clusters (hybrid with Anyscale cloud), per an Anyscale (Ray vendor) recap of Ray Day NYC. Cubist is Point72's systematic/quant unit. No public GPU count, core count, MW figure, or named facility. Physical location of the on-prem hardware is undisclosed; pinned symbolically to the Stamford HQ.",reported,3,https://www.anyscale.com/blog/ray-day-nyc-recap
Point72 / Cubist,Point72 / Cubist cloud compute (AWS + Anyscale),cloud_region,Amazon Web Services / Anyscale,Stamford,USA,,41.0344,-73.5866,symbolic,operational,,,,,"Point72 uses AWS as a public-cloud platform (job ads reference EC2, EBS, S3, RDS, IAM, KMS, Terraform, and on-premise-to-cloud connectivity), and Cubist runs Anyscale (managed Ray) in the cloud alongside on-prem. No named region, no MW, no GPU counts disclosed. Symbolic cloud pin. NOTE: the previously claimed AWS service list (Glue, EMR, Fargate, Step Functions, Databricks) is NOT supported by any",reported,2,https://www.anyscale.com/blog/ray-day-nyc-recap
Qilin Investment (启林投资),"Qilin Investment Shanghai HQ (self-built supercomputing cluster, location undisclosed)",on_prem_hq,self,Shanghai,China,"Room 1803, No. 575 Wusong Road (吴淞路575号), Hongkou District, Shanghai",31.2495,121.485,approximate,operational,,,,,"Shanghai-based ML/quant fund (founded 2015, AUM over RMB 10bn, 64 full-time staff per AMAC). Sina Finance (Jan 2026) reports the firm invested ~RMB 100M in 2022 to build an in-house supercomputing cluster / multi-GPU parallel compute platform (多卡并行的算力平台); firm's own recruiting text lists 算力平台建设 (compute-platform construction) as a team responsibility. GPU type/count, exact hardware, and MW power a",reported,3,https://finance.sina.com.cn/roll/2026-01-14/doc-inhhhtei4906750.shtml
Qraft Technologies (크래프트테크놀로지스),"Qraft Technologies HQ — Parc.1 Tower 2 (NH Finance Tower), Yeouido, Seoul",on_prem_hq,self,Seoul,South Korea,,37.5261,126.9281,exact,operational,,,,,"Corporate headquarters office only. No public evidence this office houses a compute room, data hall, or on-prem GPU/HPC cluster. Address on Qraft's own About page: 27F, Parc.1 Tower 2 (NH Finance Tower), 108 Yeoui-daero, Yeongdeungpo-gu, Seoul. Some third-party profiles still list a prior Yeouido address (Three IFC). Pin is the firm's physical seat, NOT a documented compute site.",confirmed,3,https://www.qraftec.com/about-us
Quadrature Capital,Quadrature Capital HQ / self-hosted research compute grid (London),office_hpc,self,London,United Kingdom,"The Leadenhall Building, 122 Leadenhall Street, London EC3V 4AB",51.5138,-0.0824,city_level,operational,,,,,"Firm's own careers page confirms a large self-hosted (on-premise/grid) research system: 'thousands of servers for research, simulation and testing, all coordinated by our own grid scheduling system' -- i.e. self-managed compute, not cloud-only. Specific figures widely reported from the firm's own infrastructure job listing (over 20,000 CPU cores, 2,000 GPUs, 500TB RAM, 10PB storage) are STRIPPED h",reported,2,https://www.quadrature.ai/working-here/our-culture/
QuantPi (Liangpai Investment) (量派投资),"QuantPi HQ — North Bund Raffles City West Tower, Floor 42, Shanghai",on_prem_hq,self,Shanghai,China,"Floor 42, West Tower, North Bund Raffles City, 168 Gongping Road, Hongkou District, Shanghai 200085 (上海市虹口区公平路168号北外滩来福士西塔42层). Registered/legal address differs: 虹口区哈尔滨路278号2幢202室 (Harbin Rd 278) per AMAC.",31.2527,121.5073,approximate,operational,,,,,"Corporate/operating HQ of the Shanghai quant fund; office location confirmed by China's fund regulator (AMAC) as the firm's 办公地址 (business office). Firm states its research/trading platform is 100% self-developed (投研平台与交易系统100%自主研发) and that interns get 自研全栈系统、海量金融数据及弹性算力资源. 'Elastic compute resources' (弹性算力资源) implies rented/cloud capacity, not a named self-built DC. No GPU count, no MW, no named",confirmed,4,https://gs.amac.org.cn/amac-infodisc/res/pof/manager/2005291235108662.html
Quantitative Investment Management (QIM),"QIM Headquarters — CODE Building, Charlottesville",on_prem_hq,self,Charlottesville,United States,,38.0304,-78.4816,exact,operational,,,,,"Sole publicly documented physical footprint: QIM's HQ office in the LEED Platinum CODE building at 240 W Main St, Suite 300, Charlottesville. Firm/founder are ML-forward but public record discloses NO dedicated data center, colocation hall, cloud region, or GPU/HPC facility. Any compute (on-prem server room vs cloud) is undisclosed and inferred; no MW or GPU specs in the public record. Headcount r",confirmed,5,https://www.cvilleclimate.org/qim
Quantlab,Quantlab HQ - 3 Greenway Plaza (on-prem HPC / AS23514 registrant),on_prem_hq,self,Houston,United States,"3 Greenway Plaza, Suite 200, Houston, TX 77046",29.7318,-95.4311,exact,operational,,,,,"Firm's Houston HQ and registrant of its self-operated autonomous system AS23514 ('QUANTLAB FINANCIAL LLC', 3 Greenway Plaza), plus ARIN-registered IP space (209.249.8.0/24 under org 'Quantlab', Netops@quantlab.com contact). Quantlab's own recruiting copy describes 'high performance computing clusters attached to petabytes of storage' and 'ultra-low latency hardware' (reported from firm's site; not",confirmed,3,https://rdap.arin.net/registry/autnum/23514
Qube Research & Technologies,QRT London HQ — on-premise HPC / Compute Operations,office_hpc,self,London,United Kingdom,,,,city_level,operational,,,,,"A QRT job posting (Compute Operations Lead, London; posted then removed 29 Jun 2026) describes managing 'on-premise compute infrastructure' including 'HPC server hardware, including liquid-cooled systems', orchestrated with Slurm/Kubernetes and monitored via HP OneView / Dell OpenManage. Confirms QRT runs on-prem HPC beyond Iceland, but no named or geocodable facility, MW, GPU count, or address is",inferred,2,https://builtin.com/job/compute-operations-lead/8898350
Radix Trading,"Radix Trading HQ — 353 N Clark St, Chicago (River North)",on_prem_hq,self,Chicago,USA,"353 N Clark St, Ste 1600, Chicago, IL 60654",41.888,-87.6312,exact,operational,,,,,"Headquarters OFFICE, not a disclosed data centre — pin should be labelled HQ/office with 'compute location undisclosed', not a confirmed compute site. Carries the firm's HPC/research-compute signal (HPC Systems Engineer and Network Engineer roles based Chicago/NY; firm self-describes as staffed by 'supercomputer specialists' with an 'automated research platform' using 'machine learning and statist",confirmed,4,https://radixtrading.co/
Radix Trading,"Radix Trading NY office — One World Trade Center, Manhattan",office_hpc,self,New York,USA,"One World Trade Center, Ste 45D, New York, NY 10007",40.7127,-74.0134,exact,operational,,,,,"OFFICE (One WTC tower), not a data centre — pin should be labelled office with 'compute location undisclosed', not a confirmed compute site. Listed as a base location for HPC Systems Engineer and Network Engineer roles alongside Chicago, so technical/compute-adjacent staff sit here, but no machine room, MW, GPU, or CPU spec is disclosed. Any NY-area execution racks (Equinix NY4/NY5 Secaucus, Nasda",confirmed,3,https://radixtrading.co/
Renaissance Technologies,Renaissance Technologies East Setauket campus (HQ / research & compute),on_prem_hq,self,East Setauket,USA,"600 Route 25A, East Setauket, Suffolk County, NY 11733-1235",40.945364,-73.085509,approximate,operational,,,,,"Firm's own About page (rentec.com) states 50,000 computer cores, over 200 Gbps global connectivity, and a research database growing more than 40 TB/day. The same page acknowledges 'redundant computational facilities, each fully capable of supporting our trading operations' but discloses NO location for any secondary facility. Compute is self-built/on-prem; no MW, floor area, rack count, or GPU det",confirmed,4,https://www.rentec.com/Home.action?about=true
Schonfeld Strategic Advisors,Schonfeld cloud compute (AWS) — symbolic HQ pin,cloud_region,Amazon Web Services,New York,United States,,40.7623,-73.9724,symbolic,operational,,,,,"No MW, GPU, cores, or named facility disclosed. Only public compute signal: Schonfeld engineering job posts describe microservices deployed to AWS with Docker/Kubernetes/Helm. No self-built DC, named colocation hall, grid/permit filing, or PeeringDB/ASN record found.",inferred,3,https://job-boards.greenhouse.io/schonfeld/jobs/7538303
Squarepoint Capital,Squarepoint Capital — undisclosed data-center / colocation footprint (HQ-anchored),undisclosed,self,New York,United States,,40.7128,-74.006,symbolic,operational,,,,,"Squarepoint's own careers material confirms the firm runs a mix of self-operated data centers AND third-party colocation halls: a Site Management Specialist posting states its Site Management team is responsible for space, power, physical security and structured cabling across all Squarepoint's data centers, offices and colocation facilities, and the Built In jobs listing references managing infra",inferred,3,https://www.squarepoint-capital.com/locations
Susquehanna (SIG),"Equinix CH1/CH2/CH4, Chicago (SIG network / colocation presence)",colocation,Equinix,Chicago,USA,"350 E Cermak Rd, Floor 5/6/8, Chicago, IL 60616-1568",41.85365,-87.618342,exact,operational,,,,,"SIG's own AS (AS19661, 'Susquehanna Partners') lists a physical interconnection presence at Equinix CH1/CH2/CH4 (350 E Cermak) in PeeringDB. Consistent with a Chicago colocation footprint near CME/Cboe venues; SIG's rack count and MW here are not public. PeeringDB record is somewhat dated, so this reflects at least a historical footprint.",inferred,2,https://www.peeringdb.com/net/23639
Susquehanna (SIG),"Equinix NY1, Newark (SIG network / colocation presence)",colocation,Equinix,Newark,USA,"165 Halsey St, Floor 8, Newark, NJ 07102-2834",40.736844,-74.173402,exact,operational,,,,,"SIG's own AS (AS19661, 'Susquehanna Partners') lists a physical interconnection presence at Equinix NY1 in PeeringDB, indicating a colocation/network footprint in the NY-metro Equinix ecosystem. SIG's rack count and MW here are not public. PeeringDB record is somewhat dated (last updated ~2020-2022), so this reflects at least a historical footprint.",inferred,2,https://www.peeringdb.com/net/23639
Susquehanna (SIG),"Susquehanna HQ campus data center(s), Bala Cynwyd",on_prem_hq,self,Bala Cynwyd,USA,"401 City Avenue, Bala Cynwyd, PA 19004 (grid record lists it as 401 E City Ave, Philadelphia PA 19131)",40.0068,-75.2352,approximate,operational,,,,"interconnection.fyi tracker states '< 10 MW' as a ceiling with undisclosed basis (not stated as IT load vs grid demand vs backup); no firm MW disclosed, so left null.","On-premises data center(s) inside SIG's ~600,000 sq ft HQ campus. Independent MEP/FP contractor Rock Brook confirms 'HVAC infrastructure upgrades in their data centers' at the HQ. A grid/utility tracker (interconnection.fyi) ties the campus to PECO Energy with a '< 10 MW' ceiling (basis undisclosed), operational status, and a 2021 application. SIG's own careers page states 20,000+ physical/virtual",confirmed,4,https://therockbrook.com/project/susquehanna-international-group/
TGS Management,"TGS Data Center - 23 Pasteur, Irvine",self_build_dc,self,Irvine,United States,"23 Pasteur, Irvine, CA 92618",33.6535,-117.7672,exact,operational,,,,"Interconnection.fyi lists the project at ""< 10 MW"" on Southern California Edison - an upper bound / ceiling, not a source-stated load figure, so power_mw is left null per project rules.","Purpose-built ~48,260-sq-ft data center on a 4.6-acre site (former 125,315-sq-ft Wells Fargo building demolished; acquired May 2020 for $28M). Houses electrical equipment, limited office space, and computers for TGS's quantitative trading. Interconnection tracker lists < 10 MW on Southern California Edison, status Operational, applied/approved 2020. Completed ~2023-2024; sits across the 405 from S",confirmed,3,https://www.interconnection.fyi/data-center/project/tgs-e32476b5
Tibra Capital,Equinix SY4 (Tibra Global Services network/colocation presence),colocation,Equinix,Sydney (Alexandria),Australia,"Unit A, 200 Bourke Road, Alexandria, NSW 2015",-33.918198,151.1893,exact,operational,,,,,"Tibra Global Services (AS23731) lists an operational network presence at Equinix SY4 - Sydney and peers at IX Australia Sydney (NSW-IX) at 10G. No rack count, power, or compute specs disclosed. Consistent with HFT execution/market-access colocation. No MW figure available.",inferred,4,https://www.peeringdb.com/net/13801
